y,yhat
0,0.45516
0,0.379626
1,0.736389
0,0.440646
0,0.069488
0,0.509599
1,0.793818
0,0.314721
1,0.858105
1,0.43103
0,0.149323
0,0.17297
1,0.634981
0,0.206381
0,0.55493
1,0.850554
1,0.699946
1,0.916627
1,0.744754
0,0.618491
0,0.307964
1,0.919715
0,0.159091
0,0.364605
1,0.665378
0,0.566061
0,0.212701
0,0.317735
0,0.454146
0,0.545266
0,0.609671
0,0.054065
0,0.458795
1,0.638391
0,0.307277
1,0.916827
0,0.107225
0,0.377064
1,0.65803
0,0.093307
1,0.923834
0,0.43914
1,0.95668
0,0.23375
1,0.754461
0,0.273539
1,0.800337
0,0.497765
0,0.196392
1,0.674186
0,0.309281
0,0.646482
0,0.220168
0,0.328308
0,0.33253
0,0.214325
1,0.865369
0,0.205194
0,0.341379
1,0.543594
1,0.818014
0,0.329824
0,0.169707
0,0.563402
0,0.010196
0,0.249757
0,0.281969
0,0.402583
0,0.195383
1,0.83594
1,0.737579
0,0.399451
0,0.448844
0,0.378614
1,0.861876
0,0.34549
0,0.164557
1,0.504806
1,0.728941
1,0.828256
1,0.666574
0,0.596798
0,0.642957
1,0.918253
1,0.87538
0,0.168135
0,0.358652
0,0.161186
1,0.780907
1,0.699548
0,0.101688
0,0.303986
0,0.093204
1,0.422651
1,0.429438
1,0.654193
0,0.299999
0,0.027984
0,0.250414
0,0.079014
1,0.786443
1,0.787383
1,0.853647
1,0.788146
0,0.221386
1,0.665632
1,0.903788
1,0.860612
0,0.127573
0,0.753457
0,0.038261
1,0.745874
0,0.147267
0,0.522317
0,0.240678
0,0.163097
0,0.393665
0,0.731389
0,0.198026
0,0.424265
1,0.828524
0,0.161374
1,0.750592
0,0.173185
0,0.348847
1,0.866749
0,0.219097
0,0.138444
0,0.146543
1,0.889691
0,0.226627
1,0.819478
0,0.011289
0,0.17963
0,0.51849
0,0.493922
0,0.467871
0,0.444501
0,0.279271
1,0.516601
0,0.167648
0,0.490295
1,0.851329
0,0.428339
0,0.384216
1,0.621421
1,0.979623
0,0.570308
1,0.964118
0,0.27198
0,0.320622
0,0.068489
1,0.793403
0,0.489069
0,0.5708
0,0.122112
0,0.319907
0,0.28648
0,0.425448
0,0.211068
0,0.411586
0,0.449156
0,0.267931
0,0.417668
0,0.150109
1,0.863393
0,0.088797
0,0.467856
0,0.468892
0,0.348444
0,0.264081
0,0.183902
0,0.410656
0,0.059614
0,0.181627
0,0.374571
0,0.191352
0,0.212145
0,0.293967
0,0.277491
0,0.085858
0,0.233683
1,0.719324
0,0.430978
0,0.540528
1,0.888744
